,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
56,56,Deebo Samuel,SFO,27,WR,15,15,89,60,67.4%,892,14.9,7,34,56.2,54,10.0,4.0,59.5,1
57,57,Romeo Doubs,GNB,23,WR,17,16,96,59,61.5%,674,11.4,8,41,51.0,36,7.0,3.5,39.6,1
58,58,Dallas Goedert,PHI,28,TE,14,14,83,59,71.1%,592,10.0,3,33,60.2,49,7.1,4.2,42.3,0
59,59,Cooper Kupp,LAR,30,WR,12,12,95,59,62.1%,737,12.5,5,33,49.5,62,7.8,4.9,61.4,0
60,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
61,60,Elijah Moore,CLE,23,WR,17,12,104,59,56.7%,640,10.8,2,29,42.3,42,6.2,3.5,37.6,2
62,61,Dalton Schultz,HOU,27,TE,15,8,88,59,67.0%,635,10.8,5,35,52.3,31,7.2,3.9,42.3,1
63,62,Courtland Sutton,DEN,28,WR,16,14,90,59,65.6%,772,13.1,10,37,54.4,46,8.6,3.7,48.3,3
64,63,Travis Etienne,JAX,24,RB,17,17,73,58,79.5%,476,8.2,1,23,49.3,56,6.5,3.4,28.0,0
65,64,Bijan Robinson,ATL,21,RB,17,16,86,58,67.4%,487,8.4,4,24,45.3,71,5.7,3.4,28.6,4
66,65,Christian Kirk,JAX,27,WR,12,12,85,57,67.1%,787,13.8,3,34,57.6,57,9.3,4.8,65.6,2
67,66,Tony Pollard,DAL,26,RB,17,17,67,55,82.1%,311,5.7,0,12,43.3,60,4.6,3.2,18.3,3
68,67,Logan Thomas,WAS,32,TE,16,15,78,55,70.5%,496,9.0,4,21,56.4,29,6.4,3.4,31.0,2
69,68,Brandin Cooks,DAL,30,WR,16,15,81,54,66.7%,657,12.2,8,38,59.3,37,8.1,3.4,41.1,1
70,69,Jerry Jeudy,DEN,24,WR,16,11,87,54,62.1%,758,14.0,2,28,46.0,47,8.7,3.4,47.4,1
71,70,Chigoziem Okonkwo,TEN,24,TE,17,11,77,54,70.1%,528,9.8,1,25,48.1,39,6.9,3.2,31.1,0
72,71,Kyle Pitts,ATL,23,TE,17,15,90,53,58.9%,667,12.6,3,35,52.2,39,7.4,3.1,39.2,0
73,72,Jahmyr Gibbs*,DET,21,RB,15,3,71,52,73.2%,316,6.1,1,20,46.5,24,4.5,3.5,21.1,2
74,73,Joe Mixon,CIN,27,RB,17,17,64,52,81.3%,376,7.2,3,14,54.7,45,5.9,3.1,22.1,0
75,74,Tyjae Spears,TEN,22,RB,17,1,70,52,74.3%,385,7.4,1,17,34.3,48,5.5,3.1,22.6,1
76,75,Darren Waller,NYG,31,TE,12,11,74,52,70.3%,552,10.6,1,25,56.8,29,7.5,4.3,46.0,0
77,76,Marquise Brown,ARI,26,WR,14,14,101,51,50.5%,574,11.3,4,32,42.6,41,5.7,3.6,41.0,0
78,77,Austin Ekeler,LAC,28,RB,14,14,74,51,68.9%,436,8.5,1,20,43.2,39,5.9,3.6,31.1,5
79,78,Ezekiel Elliott,NWE,28,RB,17,5,65,51,78.5%,313,6.1,2,12,40.0,23,4.8,3.0,18.4,2
80,79,Gerald Everett,LAC,29,TE,15,12,70,51,72.9%,411,8.1,3,25,50.0,31,5.9,3.4,27.4,3
81,80,Diontae Johnson,PIT,27,WR,13,11,87,51,58.6%,717,14.1,5,37,52.9,71,8.2,3.9,55.2,1
82,81,Samaje Perine,DEN,28,RB,17,1,56,50,89.3%,455,9.1,0,23,67.9,29,8.1,2.9,26.8,3
83,82,Darius Slayton,NYG,26,WR,17,13,79,50,63.3%,770,15.4,4,29,49.4,80,9.7,2.9,45.3,0
84,83,Jonnu Smith,ATL,28,TE,17,6,70,50,71.4%,582,11.6,3,26,51.4,60,8.3,2.9,34.2,1
85,84,Jahan Dotson,WAS,23,WR,17,16,83,49,59.0%,518,10.6,4,27,48.2,33,6.2,2.9,30.5,0
86,85,Demario Douglas,NWE,23,WR,14,7,79,49,62.0%,561,11.4,0,26,45.6,42,7.1,3.5,40.1,3
87,86,Antonio Gibson,WAS,25,RB,16,2,59,48,81.4%,389,8.1,2,19,44.1,41,6.6,3.0,24.3,4
88,87,K.J. Osborn,MIN,26,WR,16,12,75,48,64.0%,540,11.3,3,28,45.3,47,7.2,3.0,33.8,1
89,88,Tank Dell,HOU,24,WR,11,8,75,47,62.7%,709,15.1,7,34,54.7,68,9.5,4.3,64.5,1
90,89,Tyler Higbee,LAR,30,TE,15,15,70,47,67.1%,495,10.5,2,26,57.1,33,7.1,3.1,33.0,0
91,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
92,90,Cade Otton,TAM,24,TE,17,17,67,47,70.1%,455,9.7,4,22,49.3,27,6.8,2.8,26.8,1
93,91,Javonte Williams,DEN,23,RB,16,13,58,47,81.0%,228,4.9,2,10,48.3,18,3.9,2.9,14.3,1
94,92,Rashid Shaheed*+,NOR,25,WR,15,8,75,46,61.3%,719,15.6,5,27,46.7,58,9.6,3.1,47.9,1
