,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
206,201,Parris Campbell,NYG,26,WR,12,3,27,20,74.1%,104,5.2,0,2,37.0,17,3.9,1.7,8.7,0
207,202,Khalil Herbert,CHI,25,RB,12,9,31,20,64.5%,134,6.7,1,9,41.9,23,4.3,1.7,11.2,1
208,203,Van Jefferson,2TM,27,WR,17,9,43,20,46.5%,209,10.5,0,10,37.2,46,4.9,1.2,12.3,0
209,204,Ameer Abdullah,LVR,30,RB,17,0,24,19,79.2%,131,6.9,0,4,33.3,18,5.5,1.1,7.7,0
210,205,John Bates,WAS,26,TE,17,4,28,19,67.9%,151,7.9,0,6,50.0,35,5.4,1.1,8.9,0
211,206,Jake Bobo,SEA,25,WR,17,0,25,19,76.0%,196,10.3,2,9,60.0,31,7.8,1.1,11.5,0
212,207,Jauan Jennings,SFO,26,WR,13,2,33,19,57.6%,265,13.9,1,12,48.5,31,8.0,1.5,20.4,0
213,208,Brandon Johnson,DEN,25,WR,13,2,30,19,63.3%,284,14.9,4,12,60.0,50,9.5,1.5,21.8,0
214,209,Terrace Marshall Jr.,CAR,23,WR,9,4,33,19,57.6%,139,7.3,0,8,45.5,14,4.2,2.1,15.4,1
215,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
216,210,Jonathan Taylor,IND,24,RB,10,7,23,19,82.6%,153,8.1,1,5,43.5,40,6.7,1.9,15.3,1
217,211,Tre Tucker,LVR,22,WR,16,1,34,19,55.9%,331,17.4,2,12,41.2,50,9.7,1.2,20.7,0
218,212,Mike Williams,LAC,29,WR,3,3,26,19,73.1%,249,13.1,1,9,53.8,49,9.6,6.3,83.0,0
219,213,Tyler Allgeier,ATL,23,RB,17,3,23,18,78.3%,193,10.7,1,6,39.1,75,8.4,1.1,11.4,0
220,214,Mack Hollins,ATL,30,WR,13,3,30,18,60.0%,251,13.9,0,9,46.7,45,8.4,1.4,19.3,0
221,215,Hayden Hurst,CAR,30,TE,9,8,32,18,56.3%,184,10.2,1,7,46.9,48,5.8,2.0,20.4,0
222,216,Will Mallory,IND,24,TE,12,2,26,18,69.2%,207,11.5,0,11,50.0,43,8.0,1.5,17.3,1
223,217,Irv Smith Jr.,CIN,25,TE,12,6,26,18,69.2%,115,6.4,1,5,38.5,14,4.4,1.5,9.6,1
224,218,Jamaal Williams,NOR,28,RB,13,4,20,18,90.0%,62,3.4,0,1,30.0,12,3.1,1.4,4.8,1
225,219,Calvin Austin,PIT,24,WR,17,1,30,17,56.7%,180,10.6,1,7,40.0,72,6.0,1.0,10.6,2
226,220,Matt Breida,NYG,28,RB,17,4,21,17,81.0%,88,5.2,0,2,19.0,22,4.2,1.0,5.2,1
227,221,Will Dissly,SEA,27,TE,16,14,22,17,77.3%,172,10.1,1,8,59.1,21,7.8,1.1,10.8,0
